question,options,answer

"  Quel est le principal objectif du référentiel concernant le domaine d"  "  application des extincteurs?"  , "  ["Définir les exigences pour la fabrication des extincteurs.", "Définir les exigences pour la conception, la réalisation et la maintenance des installations d"  "  extincteurs.", "Établir les tarifs de location des extincteurs portatifs.", "Former le personnel à l"  "  utilisation des extincteurs en entreprise."] "  , "  1"  ,
"  Le référentiel s'applique-t-il uniquement aux bâtiments industriels?"  , "  ["Oui, car les risques d"  "  incendie y sont plus élevés.", "Oui, car ce sont les seuls lieux mentionnés explicitement.", "Non, il concerne principalement les établissements recevant du public ERP.", "Non, il concerne des surfaces diverses telles que les locaux industriels, agricoles, commerciaux ou administratifs, ainsi que certaines parties d"  "  habitation."] "  , "  3"  ,
"  Quels types de surfaces couvertes sont spécifiquement mentionnés dans le domaine d"  "  application?"  , "  ["Uniquement les parkings souterrains et les zones de stockage de produits chimiques.", "Les théâtres, cinémas et hôpitaux.", "Les locaux techniques, les parcs de stationnement couverts, les dégagements, halls d"  "  entrée, etc.", "Les habitations individuelles de plus de trois étages."] "  , "  2"  ,
"  Les installations particulières mentionnées dans le domaine d"  "  application concernent principalement?"  , "  ["Les installations particulières visées au § 2.3.", "Les habitations individuelles isolées.", "Les véhicules de transport de marchandises dangereuses.", "Les chantiers de construction de moins de 50 personnes."] "  , "  0"  ,
"  Quelle information importante est précisée concernant le personnel à la fin de la section sur le domaine d"  "  application?"  , "  ["Le personnel doit vérifier les extincteurs quotidiennement.", "Le personnel doit choisir le type d"  "  extincteur adapté à chaque risque.", "Note : le personnel doit être formé à la manœuvre des extincteurs!", "Note : un registre de sécurité doit être tenu à jour par le personnel."] "  , "  2"  ,
"  Quelle est la fonction principale d"  "  une installation d"  "  extincteurs selon le texte?"  , "  ["Éteindre complètement un incendie de grande ampleur.", "Remplacer les systèmes automatiques de détection et d"  "  extinction.", "Être un moyen de première intervention dans la lutte contre l"  "  incendie.", "Garantir l"  "  évacuation rapide des occupants d"  "  un bâtiment."] "  , "  2"  ,
"  Dans quelle situation un extincteur est-il particulièrement efficace?"  , "  ["Lorsque l' incendie s'est propagé à plusieurs pièces.", "Lorsque les flammes atteignent une hauteur de plus de 3 mètres.", "Lorsque les matériaux en combustion sont des liquides inflammables.", "Sur un foyer naissant."] "  , "  3"  ,
"  Pourquoi le temps d"  "  utilisation d"  "  un extincteur est-il limité?"  , "  ["En raison de la complexité de sa manipulation.", "À cause de la réglementation en vigueur concernant la durée d"  "  intervention.", "En raison de la quantité limitée d"  "  agent extincteur.", "Pour éviter une utilisation excessive par le personnel non formé."] "  , "  2"  ,
"  La mise en place d"  "  une installation d"  "  extincteurs dépend-elle d' autres moyens de prévention et de lutte contre l' incendie?" , " ["Non, elle est indépendante de tout autre moyen.", "Oui, elle doit être précédée de l' installation de détecteurs de fumée.", "Oui, elle est obligatoire uniquement si un système d' alarme incendie est présent.", "Oui, le nombre d' extincteurs dépend des autres moyens de lutte disponibles."] " , " 0" ,
" Selon le référentiel APSAD R4, une installation d' extincteurs est considérée comme?" , " ["Le seul moyen de secours obligatoire dans tous les types de bâtiments.", "Un moyen de prévention primaire contre le risque d' incendie.", "L' un des moyens de secours prévus par le référentiel APSAD R4 Maîtrise du risque incendie.", "Un équipement devant être vérifié annuellement par un organisme certifié."] " , " 2" ,
" Que désigne le terme "Agent extincteur"?" , " ["L' ensemble du dispositif de l' extincteur.", "La personne formée à l' utilisation de l' extincteur.", "La substance contenue dans l' extincteur et dont l' action provoque l' extinction d' un incendie.", "Le mécanisme de déclenchement de l' extincteur."] " , " 2" ,
" Qu' est-ce qu' un "Extincteur portatif" selon la terminologie?" , " ["Un extincteur monté sur roues et facilement déplaçable.", "Un extincteur de grande capacité destiné à un usage professionnel.", "Un extincteur conçu pour être porté et utilisé à la main et qui, en ordre de fonctionnement, a une masse inférieure ou égale à 20 kg.", "Un extincteur à usage unique ne nécessitant pas de recharge."] " , " 2" ,
" Que signifie "Capacité" d' un extincteur?" , " ["La pression interne maximale que peut supporter l' appareil.", "La masse ou volume d' agent extincteur pour laquelle l' extincteur est certifié.", "La durée minimale de fonctionnement de l' extincteur lors de son utilisation.", "La hauteur maximale à laquelle l' agent extincteur peut être projeté."] " , " 1" ,
" Quelle est la caractéristique principale d' un "Extincteur mobile"?" , " ["Extincteur conçu pour être transporté et actionné manuellement et dont la masse totale supérieure à 20 kg. Un extincteur mobile est monté sur roues.", "Extincteur pouvant être déclenché à distance grâce à un système de télécommande.", "Extincteur spécialement conçu pour éteindre les feux de liquides polaires.", "Extincteur dont la durée de vie est supérieure à celle d' un extincteur portatif."] " , " 0" ,
" Que décrit la "Classe de feu"?" , " ["Le type d' agent extincteur contenu dans l' appareil.", "La température maximale à laquelle l' extincteur peut être stocké.", "La nature du combustible en feu classe A : feux de matériaux solides, classe B : feux de liquides ou solides liquéfiables, etc..", "Le niveau de certification de l' extincteur selon les normes européennes."] " , " 2" ,
" Quels sont les principaux agents extincteurs mentionnés pour la classe A de feu?" , " ["Poudre BC et dioxyde de carbone CO2.", "Uniquement l' eau pulvérisée avec additif.", "Eau pulvérisée, eau pulvérisée avec additif, mousse.", "Les poudres pour feux de métaux classe D."] " , " 2" ,
" Pour quel type de feu la poudre ABC est-elle particulièrement efficace?" , " ["Feux de liquides inflammables uniquement.", "Feux de gaz uniquement.", "Feux de solides, de liquides et de gaz.", "Feux d' huiles et de graisses de cuisson classe F."] " , " 2" ,
" Dans quelles situations l' utilisation d' extincteurs à eau est-elle déconseillée?" , " ["En présence de matériaux produisant des braises.", "En présence de risques électriques.", "Dans les zones où la température ambiante est élevée.", "Sur les feux se propageant verticalement."] " , " 1" ,
" Quel avantage spécifique présente l' extincteur à dioxyde de carbone CO2?" , " ["Il laisse un résidu abondant permettant de prévenir la réinflammation.", "Il est propre et ne laisse pas de résidu après utilisation.", "Il est efficace sur une large gamme de classes de feu, y compris les feux de métaux.", "Il a une longue portée de jet, permettant d' intervenir à distance."] " , " 1" ,
" Selon le référentiel, quel critère doit être pris en compte pour le choix de l' agent extincteur en fonction du risque?" , " ["La couleur de l' extincteur pour une identification rapide.", "Le coût d' achat et de maintenance de l' appareil.", "La nature des feux susceptibles de se déclarer dans les zones à protéger.", "La facilité de manipulation de l' extincteur par le personnel non formé."] " , " 2" ,
" La détermination du nombre d' extincteurs pour la protection générale est basée principalement sur?" , " ["Le nombre d' employés présents dans les locaux.", "La hauteur sous plafond des bâtiments.", "La surface des zones à protéger et le niveau de risque.", "La proximité des points d' eau et des hydrants incendie."] " , " 2" ,
" Quels sont les deux types de risques considérés pour la détermination du nombre d' extincteurs?" , " ["Risque faible et risque élevé.", "Risques généraux et risques particuliers.", "Risques internes et risques externes.", "Risques liés à l' activité et risques liés au bâtiment."] " , " 1" ,
" Selon le texte, la protection complémentaire vise à?" , " ["Doubler le nombre d' extincteurs de la protection générale.", "Protéger les zones non couvertes par la protection générale.", "Protéger des risques spécifiques et localisés.", "Utiliser des extincteurs de types différents de ceux de la protection générale."] " , " 2" ,
" Quelle est la distance maximale à parcourir pour atteindre un extincteur de protection générale dans les zones à risque courant?" , " ["5 mètres.", "10 mètres.", "15 mètres.", "20 mètres."] " , " 1" ,
" Comment est déterminée la dotation minimale d' extincteurs portatifs pour une unité de base?" , " ["Elle est fixée forfaitairement à un extincteur par 100 m².", "Elle est définie en fonction du type de risque faible, courant, élevé.", "Elle dépend du type d' activité exercée dans les locaux.", "Elle est préconisée par l' assureur de l' établissement."] " , " 1" ,
" La protection d' installations particulières concerne notamment?" , " ["Les bureaux paysagers de plus de 50 personnes.", "Les couloirs et les escaliers de secours.", "Les locaux à risques importants tels que les chaufferies, les cuisines collectives, les locaux électriques.", "Les zones de stockage de matériaux non combustibles."] " , " 2" ,
" Pour les stockages extérieurs de liquides ou de gaz inflammables, la protection est généralement assurée par?" , " ["Des extincteurs à eau pulvérisée de grande capacité.", "Des extincteurs adaptés aux risques spécifiques concernés, en nombre déterminé par l' analyse du risque.", "Des extincteurs automatiques à déclenchement thermique.", "Uniquement des hydrants incendie situés à proximité."] " , " 1" ,
" Concernant les armoires électriques, quel type d' extincteur est souvent recommandé?" , " ["Extincteur à eau avec additif.", "Extincteur à mousse.", "Extincteur à dioxyde de carbone CO2 ou à poudre.", "Extincteur à jet pulsé."] " , " 2" ,
" Pour les locaux contenant des matériels électriques sous tension supérieure à 1000 V, une des règles à suivre est?" , " ["Les extincteurs utilisés doivent être adaptés au risque électrique.", "L' installation d' extincteurs est facultative si le local est verrouillé.", "La quantité d' agent extincteur doit être doublée par mesure de sécurité.", "Seuls les extincteurs mobiles sont autorisés dans ces locaux."] " , " 0" ,
" Pour les zones de stockage en hauteur, la protection complémentaire peut nécessiter?" , " ["Des extincteurs supplémentaires en fonction de la hauteur et de la surface.", "L' installation de systèmes d' extinction automatique uniquement.", "La mise en place d' un plan d' évacuation spécifique.", "L' utilisation d' extincteurs avec une portée de jet supérieure à la normale."] " , " 0" ,
" Où les extincteurs doivent-ils être installés de préférence?" , " ["Dans des locaux fermés à clé dont seul le responsable de la sécurité a l' accès.", "Dans les zones les moins fréquentées pour éviter toute manipulation intempestive.", "Dans des endroits visibles, facilement accessibles et à proximité des risques à protéger et des issues.", "À une hauteur supérieure à 2 mètres pour éviter qu' ils ne soient heurtés."] " , " 2" ,
" Quelle signalisation doit accompagner l' emplacement d' un extincteur?" , " ["Uniquement une flèche directionnelle indiquant la localisation.", "Uniquement un panneau indiquant le type d' extincteur.", "Une signalisation conforme à la réglementation en vigueur, indiquant clairement la présence et le type d' extincteur.", "Aucune signalisation spécifique n' est requise si l' extincteur est de couleur rouge."] " , " 2" ,
" Concernant la fixation des extincteurs, il est recommandé de?" , " ["Les poser directement sur le sol pour faciliter leur prise en main.", "Les fixer avec des colliers de serrage réutilisables pour un déplacement facile.", "Les fixer solidement aux supports prévus à cet effet mur, poteau, etc. à l' aide des accessoires appropriés.", "Les suspendre par une simple cordelette pour amortir les chocs éventuels."] " , " 2" ,
" Quelle est la hauteur maximale recommandée pour la poignée de portage d' un extincteur portatif?" , " ["0,80 mètre du sol.", "1,50 mètre du sol.", "1,20 mètre du sol.", "1,80 mètre du sol."] " , " 2" ,
" Les extincteurs installés à l' extérieur doivent être protégés contre?" , " ["Uniquement les fortes pluies.", "Uniquement les rayons directs du soleil.", "Les intempéries et les risques de détérioration chocs, corrosion, etc..", "Uniquement le vol."] " , " 2" ,
" Que doit comporter le dossier technique d' une installation d' extincteurs?" , " ["Uniquement les factures d' achat des extincteurs.", "Uniquement le plan d' évacuation des locaux.", "Les éléments justifiant la conformité de l' installation au référentiel APSAD R4, incluant notamment le plan d' implantation, le choix des appareils et les éventuelles dérogations.", "Uniquement le registre de sécurité incendie."] " , " 2" ,
" Le dossier technique doit-il mentionner les compétences du personnel en matière de manipulation des extincteurs?" , " ["Oui, une liste nominative du personnel formé doit être incluse.", "Non, mais la formation du personnel est une exigence distincte.", "Oui, une copie des attestations de formation de chaque employé doit être jointe.", "Non, cela relève du plan de formation de l' entreprise."] " , " 1" ,
" Quelles informations doivent figurer dans le plan d' implantation des extincteurs?" , " ["Uniquement l' emplacement des issues de secours.", "Uniquement le type et le nombre d' extincteurs installés.", "L' emplacement de chaque extincteur, son type, sa capacité et sa classe de feu.", "Uniquement la date de la dernière vérification de chaque appareil."] " , " 2" ,
" Le dossier technique doit-il être mis à disposition de?" , " ["L' utilisateur de l' installation et des organismes de contrôle.", "Uniquement du fabricant des extincteurs.", "Uniquement des services d' incendie et de secours.", "Uniquement du personnel de maintenance interne."] " , " 0" ,
" Selon le texte, le dossier technique doit prouver?" , " ["L' absence totale de risque d' incendie dans les locaux protégés.", "La conformité des extincteurs aux normes de fabrication en vigueur.", "Que l' installation a été conçue et réalisée conformément aux exigences du référentiel APSAD R4.", "Que le personnel a participé à des exercices d' évacuation incendie récents."] " , " 2" ,
" Lors de la vérification de conformité, l' installateur doit notamment s' assurer que?" , " ["Tous les extincteurs sont de la même marque.", "Le personnel connaît parfaitement le numéro d' appel des pompiers.", "Le nombre, le type et l' emplacement des extincteurs sont conformes au dossier technique et aux exigences du référentiel.", "Les extincteurs sont équipés de manomètres indiquant la pression optimale."] " , " 2" ,
" La vérification doit également porter sur?" , " ["La couleur des murs et des plafonds des locaux protégés.", "Le bon fonctionnement du système de ventilation des locaux.", "La visibilité, l' accessibilité et la signalisation des extincteurs.", "La présence d' un éclairage de secours fonctionnel dans toutes les zones."] " , " 2" ,
" L' installateur doit-il vérifier l' état apparent des extincteurs?" , " ["Oui, il doit s' assurer qu' ils ne présentent pas de dommages visibles corrosion, déformation, etc..", "Non, l' état interne des extincteurs sera vérifié lors de la maintenance périodique.", "Oui, il doit procéder à un essai de fonctionnement de chaque extincteur.", "Non, cette vérification incombe à l' utilisateur de l' installation."] " , " 0" ,
" Que doit vérifier l' installateur concernant le scellement des extincteurs?" , " ["Sa date de péremption.", "Son intégrité et sa présence pour les appareils qui en sont équipés.", "Sa couleur et sa matière.", "Son fabricant."] " , " 1" ,
" Après la vérification de conformité, que doit établir l' installateur?" , " ["Un devis pour la maintenance annuelle des extincteurs.", "Un plan de formation à l' usage des extincteurs pour le personnel.", "Une déclaration de conformité au référentiel APSAD R4 document N4.", "Un registre de sécurité incendie initial."] " , " 2" ,
" Qui est responsable de l' établissement de la déclaration de conformité N4?" , " ["L' utilisateur de l' installation d' extincteurs.", "L' entreprise titulaire d' une certification APSAD pour l' installation d' extincteurs.", "Le fabricant des extincteurs installés.", "L' organisme de contrôle indépendant."] " , " 1" ,
